0,1,1,48,0,1,0,0,0,0,4.6968e-07,0.00010153,2.8353e-06,0.99975,8.5013e-09,0.00014067,6.2974e-06,8.3097e-08,1.5353e-07,6.0291e-10,4
0,0,1,0,0,0,0,0,50,0,2.8994e-10,3.0236e-06,2.0999e-16,1.3677e-14,9.2779e-18,9.9352e-19,2.544e-18,2.3891e-17,1,5.7808e-11,9
0,0,0,0,0,0,0,0,52,0,1.4329e-05,0.00033947,1.5893e-08,6.1909e-11,1.9084e-11,1.6848e-11,1.678e-11,4.2183e-11,0.99965,1.6656e-07,9
38,0,8,0,1,0,1,0,2,1,0.49503,8.8014e-06,0.0040133,0.00029865,6.0854e-05,5.0476e-06,2.9346e-08,7.115e-07,0.49954,0.0010391,1
0,0,1,0,0,0,50,0,0,0,5.2033e-09,3.7698e-07,2.353e-06,5.3243e-06,1.5388e-06,1.5995e-08,0.99999,4.8912e-12,4.4042e-11,1.2052e-06,7
0,0,0,8,0,0,45,0,0,0,2.3538e-11,8.7788e-12,5.0249e-09,3.9099e-06,8.6903e-07,2.9151e-05,0.99997,5.4008e-09,6.4177e-13,5.118e-12,7
0,51,0,0,0,0,0,0,0,1,1.5061e-06,0.99983,1.5194e-08,2.3163e-05,4.9159e-11,1.2777e-06,1.2725e-08,8.7731e-08,9.5778e-09,0.00014598,2
0,0,1,0,0,0,49,0,0,0,0.00033326,2.0388e-09,0.020698,0.00011438,6.5655e-05,4.3455e-05,0.97874,4.9998e-07,7.3107e-07,1.0864e-06,7
0,0,0,50,0,1,0,0,0,0,3.3642e-06,7.8093e-10,1.7095e-06,0.9898,0.0052094,0.0049472,3.8303e-05,8.9683e-07,7.5699e-10,1.7628e-10,4
0,33,0,0,0,0,0,0,0,17,2.5829e-09,0.99972,1.3778e-09,3.3162e-09,1.5836e-11,6.1609e-09,1.3483e-07,2.678e-09,1.7566e-06,0.00027874,2
55,1,0,0,0,0,0,0,0,0,0.99999,3.3655e-10,2.569e-06,1.0885e-06,2.2194e-06,2.5184e-06,1.542e-07,1.3281e-07,2.2516e-07,4.5073e-07,1
